horse_id,horse_avg_order_3,horse_avg_order_5,horse_avg_last3f_3,horse_avg_last3f_5,horse_win_rate_dist,horse_win_rate_venue,horse_win_rate_surface
2004101502,,,,,,,
2004102855,12.0,12.0,37.2,37.2,,0.0,0.0
2005101110,12.0,12.0,36.0,36.0,0.0,,0.0
2005101210,,,,,,,
2005103543,,,,,,,
2005104343,,,,,,,
2005105204,3.0,3.4,13.2,13.279999999999998,0.0,0.0,0.1666666666666666
2005105894,13.0,13.0,25.15,25.15,0.0,0.0,0.0
2005110011,4.666666666666667,4.75,13.5,13.5,0.0,0.0,0.0
2006100130,11.666666666666666,12.75,35.63333333333333,35.975,0.0,0.0,0.0
2006100405,,,,,,,
2006100429,,,,,,,
2006101140,11.0,11.0,35.9,35.9,0.0,,0.0
2006101222,4.333333333333333,4.333333333333333,33.03333333333334,33.03333333333334,0.5,,0.3333333333333333
2006101448,4.333333333333333,4.0,37.0,36.7,0.3333333333333333,0.3333333333333333,0.25
2006101789,3.0,3.0,37.4,37.4,,,0.0
2006101905,11.0,11.0,36.75,36.75,0.0,,0.0
2006101915,10.0,10.0,36.9,36.9,0.0,,0.0
2006101921,,,,,,,
2006102741,14.0,11.0,35.800000000000004,34.760000000000005,0.0,0.5,0.1428571428571428
2006102880,6.0,6.0,13.2,13.2,,,0.0
2006102967,8.0,9.2,36.333333333333336,36.24,0.1666666666666666,0.25,0.0909090909090909
2006103077,4.0,4.0,13.5,13.5,,,0.0
2006103226,9.0,9.0,37.650000000000006,37.650000000000006,0.0,,0.0
2006103254,,,,,,,
2006103340,9.666666666666666,9.666666666666666,35.300000000000004,35.300000000000004,0.0,,0.0
2006103368,,,,,,,
2006104625,16.0,16.0,36.9,36.9,,0.0,0.0
2006105022,,,,,,,
2006105366,,,,,,,
2006105845,,,,,,,
2006105899,11.666666666666666,11.666666666666666,31.433333333333334,31.433333333333334,,,0.0
2006106024,14.333333333333334,14.333333333333334,34.7,34.7,0.0,0.0,0.0
2006106231,15.333333333333334,14.0,38.03333333333333,37.78,0.0,0.0,0.0
2006106754,11.0,12.4,40.03333333333333,38.66,0.0,0.0,0.0
2006106772,9.5,9.5,36.4,36.4,0.0,0.0,0.0
2006106794,9.0,9.0,36.4,36.4,,,0.0
2006106892,9.666666666666666,9.666666666666666,36.53333333333333,36.53333333333333,0.0,0.0,0.0
2006109274,,,,,,,
2007100083,,,,,,,
2007100095,,,,,,,
2007100100,4.0,5.5,13.5,13.55,0.0,0.0,0.0
2007100107,9.333333333333334,8.6,20.7,21.82,0.0,1.0,0.25
2007100112,12.5,12.5,13.65,13.65,,,0.0
2007100191,9.5,9.5,38.75,38.75,0.0,0.0,0.0
2007100206,14.0,14.0,37.7,37.7,,0.0,0.0
2007100235,10.0,10.0,36.6,36.6,0.0,0.0,0.0
2007100476,5.666666666666667,7.0,35.03333333333333,34.64,0.0,0.0,0.0
2007100575,4.0,3.25,13.3,13.3,0.3333333333333333,0.3333333333333333,0.5
2007100624,12.666666666666666,11.6,40.5,39.6,0.0,0.0,0.0
2007100628,12.0,12.0,14.1,14.1,,,0.0
2007100773,12.0,11.6,36.56666666666666,36.62,0.0,0.0,0.0
2007100828,13.333333333333334,12.4,37.16666666666666,36.98,0.0,0.0769230769230769,0.032258064516129
2007100871,7.666666666666667,7.0,36.333333333333336,35.92,0.0,0.0,0.0
2007101053,10.333333333333334,9.4,37.46666666666667,37.120000000000005,0.0,0.0,0.0
2007101163,,,,,,,
2007101249,,,,,,,
2007101410,8.333333333333334,8.0,13.733333333333334,13.68,0.0,0.0,0.0
2007101419,13.5,13.5,37.150000000000006,37.150000000000006,0.0,0.0,0.0
2007101421,12.0,11.25,36.4,36.725,0.0,0.0,0.0
2007101434,11.0,11.2,36.0,36.46,0.0,0.0,0.0
2007101480,10.333333333333334,7.4,13.533333333333331,13.56,0.0,0.0,0.1666666666666666
2007101653,11.0,11.0,36.9,36.9,,,0.0
2007101731,7.0,7.0,39.150000000000006,39.150000000000006,0.0,0.0,0.0
2007101791,13.0,13.0,36.55,36.55,0.0,0.0,0.0
2007101798,13.666666666666666,11.4,34.666666666666664,34.64,0.0,0.0,0.0
2007101820,11.0,13.4,35.43333333333333,35.64,0.0,0.0,0.0
2007102143,10.0,10.6,35.53333333333333,35.84,0.0,0.0,0.0
2007102177,,,,,,,
2007102253,6.5,6.5,37.15,37.15,0.5,0.5,0.5
2007102267,13.0,13.0,37.4,37.4,0.0,,0.0
2007102397,10.333333333333334,11.25,35.9,36.7,0.0,0.0,0.0
2007102468,10.0,10.0,24.950000000000003,24.950000000000003,,0.0,0.0
2007102630,,,,,,,
2007102673,,,,,,,
2007102676,4.0,4.0,35.0,35.0,,,0.0
2007102705,4.333333333333333,5.8,34.800000000000004,34.660000000000004,0.0,0.0,0.2
2007102721,5.333333333333333,4.75,37.0,36.625,0.0,0.0,0.0
2007102750,12.666666666666666,12.666666666666666,38.4,38.4,0.0,0.0,0.0
2007102775,,,,,,,
2007102785,8.0,8.0,35.5,35.5,0.0,0.0,0.0
2007102796,13.333333333333334,13.333333333333334,35.93333333333333,35.93333333333333,0.0,0.0,0.0
2007102817,10.5,10.5,38.400000000000006,38.400000000000006,0.0,0.0,0.0
2007102890,8.0,6.75,36.266666666666666,36.125,0.0,0.0,0.0
2007102972,13.5,13.5,34.099999999999994,34.099999999999994,0.0,,0.0
2007103033,11.333333333333334,9.75,35.099999999999994,35.225,0.0,0.0,0.0
2007103060,,,,,,,
