jockey,jockey_win_rate_100,jockey_win_rate_venue
アッゼニ,0.06,0.0526315789473684
アヴドゥ,0.13,0.04
イーガン,0.15,0.1527777777777778
ウィリア,0.03125,0.03125
ウィルソ,0.0,0.0
オシェア,0.0303030303030303,0.0
オドノヒ,0.15,0.0
オールプ,0.0408163265306122,0.0
キング,0.1111111111111111,0.1621621621621621
キングス,0.0714285714285714,0.0714285714285714
ギュイヨ,0.3333333333333333,0.3333333333333333
クウィリ,0.0,0.0
クラスト,0.0,0.0
クリッパ,0.0,0.0
グティエ,0.0,0.0
グラハム,0.0,0.0
コレット,0.0,0.0
コントレ,0.0434782608695652,0.0526315789473684
サンチア,0.0,0.0
シュタル,0.1111111111111111,0.0878787878787878
シュミノ,0.1313131313131313,0.0344827586206896
ジャルネ,0.0,0.0
スコフィ,0.0,0.0
スペンサ,0.0,0.0
スミヨン,0.202127659574468,0.3043478260869565
ターナー,0.0,0.0
ダシルヴ,0.0,0.0
ティータ,0.1030927835051546,0.0
デットー,0.2941176470588235,1.0
デュプレ,0.0421052631578947,0.0238095238095238
ドイル,0.0606060606060606,0.036144578313253
バシュロ,0.09,0.1126760563380281
バデル,0.0,0.0
バルザロ,0.0909090909090909,0.0909090909090909
バルジュ,0.1111111111111111,0.0989010989010989
パコー,0.0,0.0
パリッシ,,
パートン,0.1612903225806451,0.0
ヒューイ,0.0918367346938775,0.1379310344827586
ビュイッ,0.202020202020202,0.238095238095238
ピーヒュ,0.0470588235294117,0.0606060606060606
ファーガ,,
フォーリ,0.05,0.04
ブドー,,
ブノワ,0.0689655172413793,0.0769230769230769
ブロンデ,0.0327868852459016,0.08
プレブル,0.0,0.0
ベイズ,0.0,0.0
ベハラー,0.0,0.0
ベリー,0.1212121212121212,0.1435406698564593
ホワイト,0.11,0.1022727272727272
ホー,0.0786516853932584,0.0769230769230769
ボウマン,0.101010101010101,0.25
ポルク,,
マカヴォ,0.2,0.2
マクドナ,0.0,0.0
マクドノ,0.0263157894736842,0.0263157894736842
マリヨン,0.0,0.0
マーカン,0.13,0.1341463414634146
マーフィ,0.27,0.3018867924528302
ミシェル,0.2,0.3333333333333333
ミナリク,0.04,0.0681818181818181
ムルザバ,0.1212121212121212,0.1818181818181818
ムーア,0.173469387755102,0.3636363636363636
メンディ,0.0,0.0
モリス,0.0144927536231884,0.0
モレイラ,0.2727272727272727,0.4615384615384615
リスポリ,0.0,0.0
リョン,0.0,0.0
ルパルー,0.0,0.0
ルメート,0.1111111111111111,0.125
ルメール,0.23,0.2631067961165048
レーン,0.21,0.0909090909090909
ヴェロン,0.0808080808080808,0.074074074074074
三津谷隼,0.02,0.032258064516129
三浦皇成,0.14,0.0929350403034613
上野翔,0.2043010752688172,0.0396039603960396
下原理,0.0,0.0
中井裕二,0.0404040404040404,0.0377358490566037
中村将之,0.0531914893617021,0.1276595744680851
中舘英二,0.0,0.0
中谷雄太,0.0404040404040404,0.088235294117647
中野省吾,0.0,0.0
丸山元気,0.07,0.0569800569800569
丸田恭介,0.01,0.0305584826132771
丸野勝虎,0.0,0.0
丹内祐次,0.0707070707070707,0.0385873119686069
亀田温心,0.06,0.0425531914893617
二本柳壮,0.0306122448979591,0.0253164556962025
五十嵐冬,0.0422535211267605,0.0465116279069767
五十嵐雄,0.064516129032258,0.1092436974789916
井上俊彦,0.0,0.0
井上幹太,0.0,0.0
井上敏樹,0.0105263157894736,0.0251572327044025
今井貴大,0.0,0.0
今村聖奈,0.0510204081632653,0.0555555555555555
今野忠成,0.0,0.0
仲原大生,0.0,0.0
仲野光馬,,
伊藤千尋,,
伊藤工真,0.05,0.0775862068965517
伴啓太,0.09375,0.0421940928270042
佐々木国,0.0,0.0
佐々木大,0.1111111111111111,0.0646387832699619
佐久間寛,0.0526315789473684,0.0677966101694915
佐原秀泰,,
佐藤友則,0.03,0.0141843971631205
佐藤翔馬,0.01,0.0103092783505154
倉富隆一,,
内田博幸,0.0404040404040404,0.0703223105902051
出水拓人,0.0,0.0
加茂飛翔,0.0,0.0
加藤和博,0.0,
加藤祥太,0.0202020202020202,0.0649350649350649
加藤翔馬,0.0,0.0
加藤聡一,0.0,0.0
勝浦正樹,0.0505050505050505,0.044044044044044
北村友一,0.11,0.058252427184466
北村宏司,0.03,0.0700712589073634
北沢伸也,0.0721649484536082,0.0757575757575757
原優介,0.05,0.0332850940665701
原田和真,0.0,0.0159362549800796
及川烈,0.0,0.0
古川吉洋,0.03,0.0506822612085769
古川奈穂,0.0612244897959183,0.0769230769230769
吉井友彦,0.0,0.0
吉井章,1.0,1.0
吉原寛人,0.0581395348837209,0.0
吉本隆記,,
吉村智洋,0.0219780219780219,0.0
吉村誠之,0.06,0.0695652173913043
吉田豊,0.0606060606060606,0.0628140703517587
吉田隼人,0.0510204081632653,0.0954400848356309
吉田順治,0.0,0.0
和田竜二,0.0204081632653061,0.069560927479033
和田翼,0.0101010101010101,0.0416666666666666
和田譲治,,
嘉藤貴行,0.0,0.0175718849840255
四位洋文,0.0412371134020618,0.0523809523809523
団野大成,0.06,0.0707236842105263
国分優作,0.01,0.0312989045383411
国分恭介,0.05,0.0309477756286266
土方颯太,0.0,0.0
土田真翔,0.0,0.0
坂井瑠星,0.134020618556701,0.0654761904761904
坂口智康,0.0555555555555555,0.0
城戸義政,0.0101010101010101,0.0543806646525679
塚本雄大,0.0,0.0
大下智,0.0172413793103448,0.0
大久保友,0.0,0.0
大塚海渡,0.0204081632653061,0.0
大山真吾,0.1666666666666666,0.1666666666666666
大山龍太,0.0,0.0
大庭和弥,0.0105263157894736,0.0238095238095238
大木天翔,0.0,0.0
大柿一真,,
大江原圭,0.0612244897959183,0.091743119266055
大江原比,0.0306122448979591,0.0
大畑慧悟,0.0,0.0
大畑雅章,0.0,0.0
大野拓弥,0.05,0.0715705765407554
太宰啓介,0.0204081632653061,0.0509745127436281
室陽一朗,1.0,1.0
宮崎光行,0.0,0.0
宮崎北斗,0.0606060606060606,0.0147058823529411
宮川実,0.0,0.0
富田暁,0.01,0.0481012658227848
小坂忠士,0.1030927835051546,0.0666666666666666
小島太一,0.0,0.0
小崎綾也,0.05,0.0389610389610389
小松丈二,,
小林凌大,0.0,0.029940119760479
小林勝太,0.05,0.0714285714285714
小林徹弥,0.03,0.0344827586206896
小林美駒,0.03125,0.0258620689655172
小林脩斗,0.0,0.0355648535564853
小沢大仁,0.03,0.0472440944881889
小牧加矢,0.1578947368421052,0.1034482758620689
小牧太,0.0,0.0510948905109489
小谷周平,,
小野寺祐,0.0543478260869565,0.009009009009009
小野楓馬,0.0,0.0
山下裕貴,,
山下雅之,,
山中悠希,,
山口勲,0.0,0.0
山本咲希,0.0,0.0
山本康志,0.0326086956521739,0.0705882352941176
山本聡哉,0.0,0.0
山田敬士,0.0,0.0124688279301745
山田祥雄,0.0,
山田雄大,,
岡村健司,0.0,
岡田祥嗣,0.0101010101010101,0.0
岡遼太郎,0.0,0.0
岡部誠,0.0,0.0
岩崎翼,0.0306122448979591,0.034416826003824
岩橋勇二,0.0,0.0
岩田康誠,0.1,0.0838445807770961
岩田望来,0.1111111111111111,0.1218390804597701
岩部純二,0.010204081632653,0.0117647058823529
嶋田純次,0.04,0.0141509433962264
川原正一,0.0,0.0
川又賢治,0.0404040404040404,0.0439330543933054
川島信二,0.06,0.0415800415800415
川島拓,,
川島正太,,
川田将雅,0.25,0.2163461538461538
川端海翼,0.03,0.008
川須栄彦,0.01,0.0241691842900302
左海誠二,0.03125,0.0
